1,"Dispone l'art. 1874 del codice civile che, se la
rendita è costituita a favore di più persone:","La parte spettante al creditore premorto si
accresce a favore degli altri, salvo patto
contrario.","La parte spettante al creditore premorto non si
accresce a favore degli altri, salvo patto
contrario.","La parte spettante al creditore premorto non si
accresce in nessun caso a favore degli altri.","La parte spettante al creditore premorto si
accresce in ogni caso a favore degli altri."
28,"Cosa dispone l'art. 1245 del codice civile con
riguardo alla compensazione?","Che quando i due debiti non sono pagabili
nello stesso luogo, si devono computare le
spese del trasporto al luogo del pagamento.","Che la dilazione concessa gratuitamente dal
creditore non è di ostacolo alla
compensazione.","Che la compensazione si verifica solo tra due
debiti che hanno per oggetto una somma di
danaro o una quantità di cose fungibili dello
stesso genere e che sono ugualmente liquidi
ed esigibili.","Che la compensazione si verifica qualunque
sia il titolo dell'uno o dell'altro debito,
eccettuato il caso di rinunzia alla
compensazione fatta preventivamente dal
debitore."
29,"L'art. 21 del codice civile dispone che, in
prima convocazione, le deliberazioni
dell'assemblea delle associazioni sono prese:","A maggioranza di voti e con la presenza di
almeno la metà degli associati.","All'unanimità dei voti e con la presenza di
almeno i due terzi degli associati.","All'unanimità dei voti e con la presenza di
almeno un quarto degli associati.","A maggioranza di voti e con la presenza di
almeno i due terzi dei soci fondatori."
30,"Dispone l'art. 1160 del codice civile che
l'usucapione di un'universalità di mobili o di
diritti reali di godimento sopra la medesima si
compie in virtù del possesso continuato per:",Venti anni.,Quindici anni.,Dieci anni.,Cinque anni.
31,"A norma dell'art. 1446 del codice civile, nei
contratti plurilaterali indicati dall'art. 1420
dello stesso codice, l'annullabilità che
riguarda il vincolo di una sola delle parti
importa l'annullamento del contratto?","No, salvo che la partecipazione di questa
debba, secondo le circostanze, considerarsi
essenziale.","Sì, sempre.","Sì, ma solo nei casi tassativamente indicati
dalla legge.","No, mai."
32,"Secondo quanto disposto dall'art. 1282 del
codice civile, i crediti liquidi ed esigibili di
somme di denaro producono interessi di
pieno diritto?","Sì, salvo che la legge o il titolo stabiliscano
diversamente.","Sì, ma solo se convenuti espressamente tra le
parti.","Sì, ma solo dalla costituzione in mora.","No, in nessun caso."
33,"Indicare quale/i delle seguenti affermazioni
è/sono conforme/i al disposto dell'art. 1660
del codice civile, in materia di appalto: 1) Se
per l'esecuzione dell'opera a regola d'arte è
necessario apportare variazioni al progetto e
le parti non si accordano, spetta al giudice di
determinare le variazioni da introdurre e le
correlative variazioni del prezzo; 2) Se
l'importo delle variazioni supera il sesto del
prezzo complessivo convenuto, l'appaltatore
può recedere dal contratto e può ottenere,
secondo le circostanze, un'equa indennità; 3)
Se le variazioni sono di notevole entità, il
committente può recedere dal contratto ed è
tenuto a corrispondere un equo indennizzo.",Tutte le tre affermazioni.,La n. 2 e la n. 3.,La n. 1 e la n. 3.,La n. 1 e la n. 2.
34,"In base a quanto previsto dall'art. 1863 del
codice civile, è fondiaria:","La rendita costituita mediante alienazione di
un immobile.","La rendita costituita mediante cessione di un
capitale.","La rendita costituita mediante la costituzione
di un diritto di usufrutto su un immobile.","La rendita costituita mediante la costituzione
di un diritto di enfiteusi su un immobile."
35,"Per espressa previsione di cui all'art. 2941 del
codice civile, tra la persona giuridica,
pubblica o privata, e i suoi amministratori in
relazione alle azioni di responsabilità nei
confronti di questi ultimi, dal periodo che va
dalla nomina dell'amministratore alla
cessazione della carica:","Opera l'istituto della sospensione della
prescrizione.","Opera l'istituto dell'interruzione della
prescrizione.",Opera l'istituto della decadenza.,"Non opera l'istituto della sospensione della
prescrizione."
36,"La prescrizione quinquennale di cui all'art.
2948, n. 3, del codice civile, si applica:","Alle pigioni delle case, ai fitti dei beni rustici
e a ogni altro corrispettivo di locazioni.","Alle annualità delle rendite perpetue o
vitalizie.","Agli interessi e, in generale, a tutto ciò che
deve pagarsi periodicamente ad anno o in
termini più brevi.","Alle indennità spettanti per la cessazione di
ogni rapporto di lavoro."
37,"Il contratto con il quale due o più persone
affidano a un terzo una cosa o una pluralità di
cose, rispetto alla quale sia nata tra esse
controversia, perché la custodisca e la
restituisca a quella a cui spetterà quando la
controversia sarà definita, ai sensi dell'art.
1798 del codice civile, è:",Il sequestro convenzionale.,Il contratto di mandato.,Il contratto di deposito.,Il contratto di mediazione.
38,"La risoluzione del contratto per
inadempimento può intervenire non soltanto
ope iudicis, ma anche ipso iure, in alcune
specifiche fattispecie previste dal codice
civile; tra queste, qual è quella prevista
dall'art. 1456 del codice civile?",La clausola risolutiva espressa.,Il termine essenziale.,La diffida ad adempiere.,"Nessuna fattispecie di risoluzione del
contratto per inadempimento è prevista
dall'art. 1456 del codice civile."
39,"Ai sensi dell'art. 874 del codice civile (in
materia di comunione forzosa del muro sul
confine), il proprietario di un fondo contiguo
al muro altrui può chiederne la comunione,
per tutta l'altezza o per parte di essa, purché lo
faccia per tutta l'estensione della sua
proprietà. Per ottenere la comunione deve
pagare:","La metà del valore del muro, o della parte di
muro resa comune, e la metà del valore del
suolo su cui il muro è costruito.","Un terzo del valore del muro, o della parte di
muro resa comune, e la metà del valore del
suolo su cui il muro è costruito.","Un quarto del valore del muro, o della parte
di muro resa comune, e la metà del valore del
suolo su cui il muro è costruito.","I due terzi del valore del muro, o della parte
di muro resa comune, e la metà del valore del
suolo su cui il muro è costruito."
40,"Quale/i delle seguenti affermazioni risulta/no
esatte ai sensi dell'art. 823 del codice civile:
1) I beni che fanno parte del demanio
pubblico, sono inalienabili; 2) I beni che
fanno parte del demanio pubblico non
possono formare oggetto di diritti a favore di
terzi, se non nei modi e nei limiti stabiliti
dalle leggi che li riguardano; 3) Spetta
all'autorità giudiziaria la tutela dei beni che
fanno parte del demanio pubblico.?",La n. 1 e la n. 2.,La n. 2 e la n. 3.,La n. 1 e la n. 3.,Tutte le tre affermazioni.
41,"Il diritto di superficie è il diritto del
proprietario di fare e mantenere al disopra del
suolo una costruzione a favore di altri, che ne
acquista la proprietà; a norma dell'art. 952 del
codice civile, può egli alienare la proprietà
della costruzione già esistente?","Si, anche separatamente dalla proprietà del
suolo.","Si ma congiuntamente alla proprietà del
suolo.","No, mai.","No, deve alienare necessariamente prima la
proprietà del suolo."
42,"L'indicazione del patrimonio deve essere
necessariamente contenuta nell'atto
costitutivo e nello statuto di un'associazione,
a norma dell'art. 16 del codice civile?",Si.,"No, non è obbligatorio che l'associazione
possieda un patrimonio.","Sì, ma solo se si tratti di associazione con fine
di lucro.","No, è obbligatoria l'indicazione solo nell'atto
costitutivo e non nello statuto."
43,"A norma dell'art. 1207 del codice civile, gli
effetti della mora credendi si verificano:","Dal giorno dell'offerta da parte del debitore,
se questa è successivamente dichiarata valida
con sentenza passata in giudicato o se è
accettata dal creditore.","Dal giorno in cui l'offerta del debitore è
dichiarata valida con sentenza passata in
giudicato.","Dal giorno in cui l'offerta del debitore è
accettata dal creditore.","Tassativamente trascorsi quindici giorni
dall'offerta del debitore."
44,"In base a quanto disposto dall'art. 1458 del
codice civile, la risoluzione del contratto per
inadempimento, anche se è stata
espressamente pattuita, pregiudica i diritti
acquistati dai terzi?","No, salvi gli effetti della trascrizione della
domanda di risoluzione.","Sì, limitatamente ai diritti acquistati dai terzi
in mala fede.","No, ad eccezione dei casi tassativamente
previsti dalla legge.","L'art. 1458 del codice civile non prevede tale
fattispecie."
45,"La disciplina del codice civile in materia di
prescrizioni presuntive prevede che il diritto
degli ufficiali giudiziari, per il compenso
degli atti compiuti nella loro qualità, si
prescrive: (art. 2955).",In un anno.,In due anni.,In tre anni.,In sei mesi.
46,"In materia di costituzione del fondo
patrimoniale della famiglia, quale/i delle
seguenti affermazioni risulta/risultano
esatta/e, secondo quanto disciplinato dall'art.
167 del codice civile: 1) ciascuno o ambedue
i coniugi possono costituire, per atto
pubblico, un fondo patrimoniale; 2) un terzo
può costituire un fondo patrimoniale, anche
per testamento; 3) la costituzione del fondo
patrimoniale può essere fatta anche durante il
matrimonio.",Tutte e tre le affermazioni.,Solo la n. 1 e n. 2.,Solo la n. 1 e n. 3.,Solo la n. 3.
47,"Dispone l'art. 1188 del codice civile in merito
al destinatario del pagamento
dell'obbligazione che il pagamento fatto a
persona diversa dal creditore libera il
debitore:","Se fatto al rappresentante del creditore,
ovvero alla persona da questi indicata o
autorizzata dalla legge o dal giudice a
riceverlo.",Solo se fatto al rappresentante del creditore.,"Esclusivamente nel caso in cui sia ratificato
dal creditore.","Solo se fatto a persona autorizzata dalla legge
o dal giudice a riceverlo."
48,"In base all'art. 1168 del codice civile, l'azione
per la reintegrazione del possesso da parte di
chi ne è stato violentemente od occultamente
spogliato è concessa anche a chi ha la
detenzione della cosa?","Si, tranne che la persona che detiene il bene
l'abbia per ragioni di ospitalità o di servizio.","Si, sempre.","No, mai.","No, tale fattispecie non è disciplinata dall'art.
1168 del codice civile che riguarda solo le
azioni a difesa del possesso."
49,"L'ipoteca attribuisce al creditore il diritto di
sequela, secondo quanto disposto dall'art.
2808, 1° comma, del codice civile?","Sì, il creditore ha diritto di espropriare il
bene, qualora esso sia stato alienato, anche in
confronto del terzo acquirente.","No, è un diritto riconosciuto al solo creditore
pignoratizio.","Si, se previsto da convenzione tra le parti.","No, il diritto di sequela è escluso per tutti i
diritti reali di garanzia."
50,"In base alle disposizioni del codice civile, la
persona, alla quale si contesti il diritto all'uso
del proprio nome o che possa risentire
pregiudizio dall'uso che altri indebitamente ne
faccia: (art. 7).","Può chiedere giudizialmente la cessazione del
fatto lesivo, salvo il risarcimento dei danni.","Può chiedere alternativamente o la cessazione
del fatto lesivo per via giudiziaria o il
risarcimento dei danni.","Deve richiedere necessariamente l'intervento
del Garante per la privacy per la decisione nel
merito.","Ha diritto al risarcimento dei danni
esclusivamente nell'ipotesi in cui risenta
pregiudizio dall'uso che altri indebitamente
faccia del proprio nome."
51,"Quale delle seguenti affermazioni riferita alla
fase di pendenza della condizione è conforme
al disposto dell'art. 1356 del codice civile?","L'acquirente di un diritto può, in pendenza
della condizione risolutiva, esercitarlo, ma
l'altro contraente può compiere atti
conservativi.","L'acquirente di un diritto può solo compiere
atti conservativi se la condizione è risolutiva.","L'acquirente di un diritto può, in pendenza
della condizione sospensiva, esercitarlo, ma
l'altro contraente può compiere atti
conservativi.","L'acquirente di un diritto non può compiere
atti conservativi se la condizione è
sospensiva."
52,"Con riferimento al compimento della
prescrizione e al computo dei termini della
prescrizione, soccorrono rispettivamente gli
articoli 2962 e 2963 del codice civile, in base
ai quali (si individui l'affermazione corretta):","Se nel mese di scadenza manca il giorno, il
termine si compie con l'ultimo giorno dello
stesso mese.","La prescrizione a mesi si verifica nel mese di
scadenza e nell'ultimo giorno del mese
iniziale.","In tutti i casi contemplati dal codice civile e
dalle altre leggi, la prescrizione si verifica il
giorno seguente all'ultimo giorno del termine.","Si computa il giorno nel corso del quale cade
il momento iniziale del termine e la
prescrizione si verifica con lo spirare
dell'ultimo istante del giorno finale."
53,"Quale delle seguenti affermazione è conforme
a quanto dispone il codice civile in merito al
contratto di mutuo?","Salvo diversa volontà delle parti, il
mutuatario deve corrispondere gli interessi al
mutuante.","Se sono convenuti interessi usurari, la
clausola è nulla e gli interessi sono dovuti
nella misura legale.","Il termine per la restituzione si presume
stipulato a favore del mutuatario.","Le cose date a mutuo restano nella proprietà
del mutuante."
54,"I mulini, a norma dell'art. 812 del codice
civile:","Sono reputati beni immobili, quando sono
saldamente assicurati alla riva o all'alveo e
sono destinati ad esserlo in modo permanente
per la loro utilizzazione.",Sono reputati in ogni caso beni mobili.,Sono reputati in ogni caso beni immobili.,Rientrano tra i beni mobili registrati.
55,"Dispone l'art. 1417 del codice civile che la
prova per testimoni della simulazione, se la
domanda è proposta da creditori o da terzi:",È ammissibile senza limiti.,"È ammissibile senza limiti solo qualora sia
diretta a far valere l'illiceità del contratto
dissimulato.","È ammissibile ma con i limiti espressamente
indicati nel suddetto articolo.",Non è mai ammissibile.
56,"Indicare quale/i della/e seguente/i
affermazione/i è/sono conforme/i al disposto
dell'art. 1147 del codice civile in materia di
possesso: 1) È possessore di buona fede chi
possiede ignorando di ledere l'altrui diritto; 2)
La buona fede non giova se l'ignoranza
dipende anche da colpa lieve; 3) La buona
fede è presunta e basta che vi sia stata al
tempo dell'acquisto.",Solo la n. 1 e la n. 3.,Solo la n. 2 e la n. 3.,Tutte e tre le affermazioni.,Solo la n. 1 e la n. 2.
57,"Quale delle seguenti affermazione è conforme
a quanto dispone il codice civile in merito al
contratto di mutuo?","Se il mutuatario non adempie l'obbligo del
pagamento degli interessi, il mutuante può
chiedere la risoluzione del contratto.","Le cose date a mutuo restano in proprietà del
mutuante.","Salvo diversa volontà delle parti, il mutuante
deve corrispondere gli interessi al mutuatario.","Il termine per la restituzione si presume
stipulato a favore del mutuante."
58,"L'art. 1500 del codice civile prevede che il
venditore può riservarsi il diritto di riavere la
proprietà della cosa venduta mediante la
restituzione del prezzo e i rimborsi stabiliti
dalla legge. A riguardo, il patto di restituire
un prezzo superiore a quello stipulato per la
vendita:","È nullo per il prezzo eccedente quello di
vendita.","È nullo e rende nullo anche il contratto di
vendita.","È inefficace per il prezzo eccedente quello di
vendita.","È integralmente valido, ma il venditore può in
ogni momento chiedere una riduzione del
prezzo secondo equità."
59,"A norma dell'art. 1664 del codice civile, in
materia d'appalto, la revisione del prezzo può
esser accordata solo per la differenza che
eccede:","Un decimo del prezzo complessivo
convenuto.",Un quinto del prezzo complessivo convenuto.,Un quarto del prezzo complessivo convenuto.,Un terzo del prezzo complessivo convenuto.
60,"Trattando degli effetti della mora sul rischio
(art. 122l codice civile) il debitore che è in
mora è liberato per la sopravvenuta
impossibilità della prestazione derivante da
causa a lui non imputabile?","No, salvo che non provi che l'oggetto della
prestazione sarebbe ugualmente perito presso
il creditore.","Sì, se prova che l'oggetto della prestazione
poteva essere conservato solo a condizioni
eccessivamente onerose.","Sì, sempre.","No, mai."
61,"Secondo quanto stabilito dall'art. 1159 bis del
codice civile, la proprietà dei fondi rustici con
annessi fabbricati situati in comuni
classificati montani dalla legge si acquista in
virtù del possesso continuato per:",Quindici anni.,Venti anni.,Trenta anni.,Dieci anni.
62,"L'art. 273 del codice civile dispone che
l'azione per ottenere che sia giudizialmente
dichiarata la paternità o la maternità naturale
può essere promossa, nell'interesse del
minore, dal genitore che esercita la
responsabilità genitoriale o dal tutore. A
riguardo, occorre il consenso del figlio per
promuovere o per proseguire l'azione?","Sì, se egli ha compiuto l'età di quattordici
anni.","Sì, se egli ha compiuto l'età di sedici anni.","Sì, se egli ha compiuto l'età di dodici anni.",No.
63,"In materia d'appalto, il committente, quando
nel corso dell'opera accerta che la sua
esecuzione non procede secondo le
condizioni stabilite dal contratto e a regola
d'arte, può fissare un congruo termine entro il
quale l'appaltatore si deve conformare a tali
condizioni; trascorso inutilmente il termine
stabilito, dispone l'art. 1662 del codice civile
che:","Il contratto è risoluto, salvo il diritto del
committente al risarcimento del danno.","Il contratto è risoluto, salvo il diritto del
committente ad un indennizzo nella misura
non superiore al 20 per cento del prezzo
complessivo convenuto.","Il committente può recedere dal contratto e
ottenere dal giudice il risarcimento del danno
dall'appaltatore o in alternativa un indennizzo
nella misura non superiore al 30 per cento del
prezzo complessivo convenuto.","Il contratto è risoluto, salvo il diritto del
committente ad un indennizzo nella misura
non superiore al 25 per cento del prezzo
complessivo convenuto."
64,"In materia di matrimonio, l'ufficiale dello
stato civile che procede alla celebrazione del
matrimonio, quando vi osta qualche
impedimento o divieto di cui egli ha notizia, è
punito dall'art. 136 del codice civile con la
sanzione amministrativa del pagamento di
una somma:",Da €. 51 a €. 309.,Da €. 41 a €. 206.,Da €. 32 a €. 180.,Da €. 50 a €. 200.
65,"In quale dei seguenti casi, l'art. 1180 del
codice civile prevede che l'obbligazione possa
essere adempiuta da un terzo anche contro la
volontà del creditore?","Se il creditore non ha interesse a che il
debitore esegua personalmente la prestazione.","In nessun caso; l'obbligazione deve sempre
essere adempiuta dal debitore, perché è tra
questi ed il creditore che si è creato il
rapporto giuridico obbligatorio.",Solo nel caso di prestazioni infungibili.,"Nel solo caso in cui il debitore abbia
manifestato al creditore la sua opposizione."
66,"Dispone l'art. 1014 del codice civile che
l'usufrutto si estingue:","Per il totale perimento della cosa su cui è
costituito.","Anche per il parziale perimento della cosa su
cui è costituito.","Solo per la riunione dell'usufrutto e della
proprietà nella stessa persona.","Per prescrizione per effetto del non uso
durato per dieci anni."
67,"Con riferimento alla disciplina dell'art. 244
del codice civile, l'azione di disconoscimento
di paternità può essere proposta anche dal
figlio?","Si, se ha raggiunto la maggiore età e l'azione
è imprescrittibile.","Si, se ha raggiunto la maggiore età e l'azione
si prescrive in cinque anni decorrenti dal
raggiungimento della maggiore età.","Si, se ha raggiunto la maggiore età e l'azione
si prescrive in dieci anni decorrenti dal
raggiungimento della maggiore età.","No, l'azione spetta solo al padre ed alla madre
e non è sottoposta a prescrizione."
