1,"Gli atti e i documenti del fascicolo
telematico non devono essere nuovamente
depositati nelle fasi successive del giudizio
o nei suoi ulteriori gradi. In tal senso:","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 546.","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 545.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 546.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 545."
12,"Il pagamento delle somme dovute a seguito
della sentenza deve essere eseguito:",Entro novanta giorni dalla sua notificazione.,Entro novanta giorni dal suo deposito.,Entro sessanta giorni dalla sua notificazione.,Entro sessanta giorni dal suo deposito.
13,"La costituzione in giudizio delle parti
diverse dall'appellante deve avvenire:","Nei modi e termini di cui all'art. 23 del d.lgs.
del 31 dicembre 1992 n. 546.","Nei modi e termini di cui all'art. 25 del d.lgs.
del 31 dicembre 1992 n. 545.","Nei modi e termini di cui all'art. 21 del d.lgs.
del 31 dicembre 1992 n. 545","Nei modi e termini di cui all'art. 19 del d.lgs.
del 31 dicembre 1992 n. 546."
14,"Ai sensi dell'art. 43 del d.lgs. del 31
dicembre 1992 n. 546:","Dopo che è cessata la causa che ne ha
determinato la sospensione il processo
continua se entro sei mesi da tale data viene
presentata da una delle parti istanza di
trattazione al presidente di sezione della Corte
di giustizia tributaria.","Dopo che è cessata la causa che ne ha
determinato la sospensione il processo continua
se entro sei mesi da tale data viene presentata
da tutte le parti istanza di trattazione al
presidente della Corte di giustizia tributaria.","Dopo che è cessata la causa che ne ha
determinato la sospensione il processo continua
se entro sei mesi da tale data viene presentata
da una delle parti istanza di trattazione al
presidente della Corte di giustizia tributaria.","Dopo che è cessata la causa che ne ha
determinato la sospensione il processo continua
se entro sei mesi da tale data viene presentata
da una delle parti istanza di trattazione alla
segreteria di sezione della Corte di giustizia
tributaria."
15,Il ricorso in appello è inammissibile:,"Se non è sottoscritto a norma dell'art. 18,
comma 3, del d.lgs. del 31 dicembre 1992 n.
546.","Se non è sottoscritto a norma dell'art. 18,
comma 2, del d.lgs. del 31 dicembre 1992 n.
546.","Se non è sottoscritto a norma dell'art. 18,
comma 4, del d.lgs. del 31 dicembre 1992 n.
546.","Se non è sottoscritto a norma dell'art. 68,
comma 5, del d.lgs. del 31 dicembre 1992 n.
546."
16,"Il ricorso con il quale si richiede
l'ottemperanza degli obblighi derivanti dalla
sentenza della Corte di giustizia tributaria di
primo e secondo grado è deciso dalla Corte
in composizione monocratica. Ciò è vero
purché il ricorso abbia ad oggetto:","Il pagamento di somme dell'importo fino a
ventimila euro e comunque per il pagamento
delle spese di giudizio.","Il pagamento di somme dell'importo fino a
trentamila euro.","Il pagamento di somme dell'importo fino a
centomila euro e comunque per il pagamento
delle spese di giudizio.","Il pagamento di somme dell'importo fino a
diecimila euro."
17,Selezionare l'affermazione corretta:,"Se uno degli eventi di cui al comma 1 dell'art.
40 del d.lgs. del 31 dicembre 1992 n. 546 si
avvera dopo l'ultimo giorno per il deposito di
memorie in caso di trattazione della
controversia in camera di consiglio, esso non
produce effetto a meno che non sia
pronunciata sentenza e il processo prosegua
davanti al giudice adito.","Se uno degli eventi di cui al comma 1 dell'art.
40 del d.lgs. del 31 dicembre 1992 n. 546 si
avvera prima dell'ultimo giorno per il deposito
di memorie in caso di trattazione della
controversia in camera di consiglio, esso non
produce effetto a meno che non sia pronunciata
sentenza e il processo prosegua davanti al
giudice adito.","Se uno degli eventi di cui al comma 1 dell'art.
40 del d.lgs. del 31 dicembre 1992 n. 545 si
avvera dopo l'ultimo giorno per il deposito di
memorie in caso di trattazione della
controversia in camera di consiglio, esso
produce effetto a meno che non sia pronunciata
sentenza e il processo prosegua davanti al
giudice adito.","Se uno degli eventi di cui al comma 1 dell'art.
40 del d.lgs. del 31 dicembre 1992 n. 545 si
avvera dopo l'ultimo giorno per il deposito di
memorie in caso di trattazione della
controversia in camera di consiglio, esso non
produce effetto anche nell'eventualità in cui non
sia pronunciata sentenza e il processo prosegua
davanti al giudice adito."
18,"Quale norma del d.lgs. del 31 dicembre
1992 n. 546 individua le norme applicabili
al ricorso per cassazione avverso la sentenza
della Corte di giustizia tributaria di secondo
grado?","L'art. 62 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 67 del d.lgs. del 31 dicembre 1992 n. 546.,"L'art. 74 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 71 del d.lgs. del 31 dicembre 1992 n. 546.
19,"Ai sensi dell'art. 28 del d.lgs. del 31
dicembre 1992 n. 546:","Contro i provvedimenti del presidente è
ammesso reclamo da notificare alle altre parti
costituite nelle forme di cui all'art. 20, commi
1 e 2, del d.lgs. del 31 dicembre 1992 n. 546
entro il termine perentorio di giorni trenta dalla
loro comunicazione da parte della segreteria.","Contro i provvedimenti del presidente è
ammesso reclamo da notificare alla segreteria
della Corte di giustizia tributaria nelle forme di
cui all'art. 20, commi 1 e 2, del d.lgs. del 31
dicembre 1992 n. 546 entro il termine
perentorio di giorni trenta dalla loro
comunicazione da parte della segreteria
medesima.","Contro i provvedimenti del presidente è
ammesso reclamo da notificare alle altre parti
costituite nelle forme di cui all'art. 20, commi 1
e 2, del d.lgs. del 31 dicembre 1992 n. 546
entro il termine perentorio di giorni venti dalla
loro comunicazione da parte della segreteria.","Contro i provvedimenti del presidente è
ammesso reclamo da notificare alle altre parti
costituite nelle forme di cui all'art. 20, commi 1
e 2, del d.lgs. del 31 dicembre 1992 n. 546
entro il termine perentorio di giorni quaranta
dalla loro comunicazione da parte della
segreteria."
20,"Ai sensi dell'art. 26 del d.lgs. del 31
dicembre 1992 n. 546: :","Il presidente della Corte di giustizia tributaria
di primo e secondo grado assegna il ricorso ad
una delle sezioni.","Il presidente della Corte di giustizia tributaria di
primo e secondo grado, sentiti i componenti
della Corte, assegna il ricorso ad una delle
sezioni.","Il presidente della Corte di giustizia tributaria di
primo e secondo grado, sentita la segreteria,
assegna il ricorso ad una delle sezioni.","I componenti della Corte di giustizia tributaria
di primo e secondo grado, sentito il Presidente
della Corte, richiedono l'assegnazione del
ricorso alle loro sezioni."
21,Per valore della lite si intende:,"L'importo del tributo al netto degli interessi e
delle eventuali sanzioni irrogate con l'atto
impugnato. Così prevede l'art. 12 del d.lgs. del
31 dicembre del 1992 n. 546.","L'importo del tributo al netto degli interessi e
delle eventuali sanzioni irrogate con l'atto
impugnato. Così prevede l'art. 14 del d.lgs. del
31 dicembre del 1992 n. 545.","L'importo del tributo al lordo degli interessi e
delle eventuali sanzioni irrogate con l'atto
impugnato. Così prevede l'art. 15 del d.lgs. del
31 dicembre del 1992 n.545.","L'importo del tributo maggiorato degli interessi
e delle eventuali sanzioni irrogate con l'atto
impugnato. Così prevede l'art. 63 del d.lgs. del
31 dicembre del 1992 n. 546."
22,"Quando ravvisa la manifesta fondatezza,
inammissibilità, improcedibilità o
infondatezza del ricorso:","Il giudice decide con sentenza in forma
semplificata. Così dispone l'art. 47-ter del
d.lgs. del 31 dicembre 1992 n. 546.","Il giudice decide con ordinanza interlocutoria.
Così dispone l'art. 47-ter del d.lgs. del 31
dicembre 1992 n. 546.","Il giudice decide in ogni caso con decreto. Così
dispone l'art. 47-ter del d.lgs. del 31 dicembre
1992 n. 546.","Il giudice decide con sentenza motivata. Così
dispone l'art. 47-ter del d.lgs. del 31 dicembre
1992 n. 545."
23,"Se l'ufficio è un'articolazione dell'Agenzia
delle entrate:","Con competenza su tutto o parte del territorio
nazionale, individuata con il regolamento di
amministrazione di cui all'articolo 71 del
decreto legislativo 30 luglio 1999, n. 300, è
parte l'ufficio al quale spettano le attribuzioni
sul rapporto controverso.","Con competenza su tutto o parte del territorio
nazionale, individuata con il regolamento di
amministrazione di cui all'articolo 70 del
decreto legislativo 30 luglio 1999, n. 546, è
parte l'ufficio al quale spettano le attribuzioni
sul rapporto controverso.","Con competenza su tutto o parte del territorio
nazionale, individuata con il regolamento di
amministrazione di cui all'articolo 70 del
decreto legislativo 30 luglio 1999, n. 300, è
parte l'ufficio al quale non spettano le
attribuzioni sul rapporto controverso.","Con competenza su tutto o parte del territorio
nazionale, individuata con il regolamento di
amministrazione di cui all'articolo 70-bis del
decreto legislativo 30 luglio 1999, n. 300, è
parte l'ufficio al quale non spettano le
attribuzioni sul rapporto controverso."
24,"Quale dei seguenti atti è impugnabile
innanzi al giudice tributario?","Il ruolo, la cartella di pagamento e l'avviso di
mora.",Il ruolo e la cartella di pagamento. L'avviso di,"La cartella di pagamento. Il ruolo e l'avviso di
mora non sono autonomamente impugnabili
dinanzi al giudice tributario.","La cartella di pagamento e l'avviso di mora. Il
ruolo non è autonomamente impugnabile
dinanzi al giudice tributario."
,,,mora non è autonomamente impugnabile,,
,,,dinanzi al giudice tributario.,,
25,"Quale norma del d.lgs. del 31 dicembre
1992 n. 546 si occupa di definire la
competenza per territorio delle corti di
giustizia tributaria di primo grado?","L'art. 4 del d.lgs. del 31 dicembre 1992 n. 546
del 1992.",L'art. 4-bis del d.lgs. del 31 dicembre 1992 n.,"L'art. 12 del d.lgs. del 31 dicembre 1992 n. 545
del 1992.","L'art. 14 del d.lgs. del 31 dicembre 1992 n. 546
del 1992."
,,,545 del 1992.,,
26,"Nel d.lgs. del 31 dicembre 1992 n. 546, ove
trovano disciplina le disposizioni finali e
transitorie?","Sono disciplinate dal Titolo III del d.lgs. del 31
dicembre 1992 n. 546, art.61 e seguenti",Sono disciplinate dal Titolo I del d.lgs. del 31,"Sono disciplinate dal Titolo VI del d.lgs. del 31
dicembre 1992 n. 545.","Sono disciplinate, dal Titolo V del d.lgs. del 31
dicembre 1992 n. 546."
,,,"dicembre 1992 n. 546, art. 1 e seguenti.",,
,Le parti possono ottenere copia autentica,Dell'art. 25 del d.lgs. del 31 dicembre 1992 n.,Dell'art. 35 del d.lgs. del 31 dicembre 1992 n.,Dell'art. 45 del d.lgs. del 31 dicembre 1992 n,Dell'art. 15 del d.lgs. del 31 dicembre 1992 n.
27,degli atti e documenti contenuti nei fascicoli,546.,545,545.,546.
,di parte e d'ufficio ai sensi:,,,,
28,"Se non è depositata nel fascicolo telematico
la copia informatica, anche per immagine,
munita di attestazione di conformità
all'originale degli atti e dei documenti su
supporto cartaceo:",Il giudice non deve tenerne conto.,Il giudice può ugualmente tenerne conto.,"Il giudice può ugualmente tenerne conto, previa
autorizzazione del presidente di sezione della
Corte di giustizia tributaria.","Il giudice non può tenerne conto, salva
l'autorizzazione del presidente di sezione della
Corte di giustizia tributaria."
29,"Ai sensi dell'art. 68 del d.lgs. del 31
dicembre 1992 n. 546 :","Se il ricorso viene accolto, il tributo corrisposto
in eccedenza rispetto a quanto statuito dalla
sentenza della Corte di giustizia tributaria di
primo grado, con i relativi interessi previsti
dalle leggi fiscali, deve essere rimborsato
d'ufficio entro novanta giorni dalla
notificazione della sentenza.","Se il ricorso viene accolto, il tributo corrisposto","Se il ricorso viene accolto, il tributo corrisposto
in eccedenza rispetto a quanto statuito dalla
sentenza della Corte di giustizia tributaria di
primo grado, con i relativi interessi previsti
dalle leggi fiscali, deve essere rimborsato
d'ufficio entro novanta giorni dal deposito della
sentenza.","Se il ricorso viene accolto, il tributo corrisposto
in eccedenza rispetto a quanto statuito dalla
sentenza della Corte di giustizia tributaria di
primo grado, con i relativi interessi previsti
dalle leggi fiscali, deve essere rimborsato
d'ufficio entro sessanta giorni dal deposito della
sentenza."
,,,in eccedenza rispetto a quanto statuito dalla,,
,,,sentenza della Corte di giustizia tributaria di,,
,,,"primo grado, esclusi gli interessi previsti dalle",,
,,,"leggi fiscali, deve essere rimborsato d'ufficio",,
,,,entro centottanta giorni dalla notificazione della,,
,,,sentenza.,,
30,"Quale norma del d.lgs. del 31 dicembre
1992 n. 546 individua le ipotesi che danno
luogo ad interruzione del processo?","L'art. 40 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 69 del d.lgs. del 31 dicembre 1992 n. 546.,"L'art. 43 del d.lgs. del 31 dicembre 1992 n.
545.",L'art. 68 del d.lgs. del 31 dicembre 1992 n. 546.
31,Seleziona l'affermazione corretta:,"Il ricorso deve essere sottoscritto dal difensore
e contenere l'indicazione della categoria di cui
all'articolo 12 del d.lgs. del 31 dicembre del
1992 n. 546 alla quale appartiene il difensore.",Il ricorso deve essere sottoscritto dal difensore e,"Il ricorso deve essere sottoscritto dal difensore
e contenere l'indicazione della categoria di cui
all'articolo 13 del d.lgs. del 31 dicembre del
1992 n. 545 alla quale appartiene il difensore.","Il ricorso deve essere sottoscritto dal difensore e
contenere l'indicazione della categoria di cui
all'articolo 71 del d.lgs. del 31 dicembre del
1992 n. 546 alla quale appartiene il difensore."
,,,contenere l'indicazione della categoria di cui,,
,,,all'articolo 12-bis del d.lgs. del 31 dicembre del,,
,,,1992 n. 545 alla quale appartiene il difensore.,,
32,"Quale norma del d.lgs. del 31 dicembre
1992 n. 546 si occupa del giudizio di
ottemperanza?","L'art. 70 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 19 del d.lgs. del 31 dicembre 1992 n. 546.,"L'art. 23 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 74 del d.lgs. del 31 dicembre 1992 n. 546.
33,"La sospensione dell'esecutività della
sentenza può essere subordinata alla
prestazione della garanzia:","Di cui all'articolo 69, comma 2, del d.lgs. del
31 dicembre 1992 n. 546.","Di cui all'articolo 47, comma 2, del d.lgs. del 31
dicembre 1992 n. 546.","Di cui all'articolo 65 comma 2, del d.lgs. del 31
dicembre 1992 n. 545","Di cui all'articolo 74, comma 2, del d.lgs. del 31
dicembre 1992 n. 546."
34,"Quale norma si occupa dell'esame
preliminare del ricorso tributario?","L'art. 27 del d.lgs. del 31 dicembre 1992 n.
546.",L'art. 48 del d.lgs. del 31 dicembre 1992 n. 546.,"L'art. 26 del d.lgs. del 31 dicembre 1992 n.
545.",L'art. 25 del d.lgs. del 31 dicembre 1992 n. 545.
35,Seleziona l'affermazione corretta:,"Il ricorso tributario può essere proposto
avverso il rifiuto espresso o tacito della
restituzione di tributi, sanzioni pecuniarie ed
interessi o altri accessori non dovuti.","Il ricorso tributario può essere proposto avverso
il rifiuto espresso della restituzione di tributi,
sanzioni pecuniarie ed interessi o altri accessori
non dovuti. Il ricorso tributario può essere
proposto avverso il rifiuto tacito della
restituzione di tributi, ad eccezione delle
sanzioni pecuniarie ed interessi o altri accessori
non dovuti.","Il ricorso tributario può essere proposto avverso
il rifiuto espresso o tacito della restituzione di
tributi, sanzioni pecuniarie ed interessi, ad
esclusione degli altri accessori non dovuti.","Il ricorso tributario può essere proposto avverso
il rifiuto espresso o tacito della restituzione di
tributi e delle sanzioni pecuniarie, ad esclusione
degli interessi o degli altri accessori non dovuti."
36,"Ai sensi dell'art. 33 del d.lgs. del 31
dicembre 1992 n. 546, i fatti e le questioni
della controversia:","Sono esposte dal giudice relatore al collegio,
senza la presenza delle parti.","Sono esposte dal presidente di sezione della
Corte di giustizia tributaria al collegio, senza la
presenza delle parti.","Sono esposte dal giudice relatore al presidente
di sezione della Corte di giustizia tributaria,
senza la presenza delle parti.","Sono esposte dalla segreteria della Corte di
giustizia tributaria al presidente di sezione
affinché quest'ultimo ne dia indicazione al
collegio giudicante."
37,"Tra i requisiti generali che i componenti
delle Corti di giustizia tributaria di primo e
secondo grado devono possedere:","Vi rientra l'essere cittadini italiani, avere
l'esercizio dei diritti civili e politici e non aver
riportato condanne per delitti comuni non
colposi o per contravvenzioni a pena detentiva
o per reati tributari e non essere stati sottoposti
a misure di prevenzione o di sicurezza.","Vi rientra l'essere cittadini italiani, avere
l'esercizio dei diritti civili e politici e non aver
riportato condanne per delitti comuni non
colposi o per contravvenzioni a pena detentiva o
per reati tributari. I componenti delle Corti di
giustizia tributaria di primo e secondo grado
possono essere stati sottoposti a misure di
prevenzione o di sicurezza.","Vi rientra l'essere cittadini italiani, avere
l'esercizio dei diritti civili e politici e non aver
riportato condanne per delitti comuni non
colposi o per contravvenzioni a pena detentiva
o per reati tributari. I componenti delle Corti di
giustizia tributaria di primo e secondo grado
possono essere stati sottoposti a misure di
prevenzione o di sicurezza; in tal caso, occorre
siano trascorsi almeno dieci anni
dall'applicazione della misura predetta.","Vi rientra l'essere cittadini italiani, avere
l'esercizio dei diritti civili e politici e non aver
riportato condanne per delitti comuni colposi o
per contravvenzioni a pena detentiva o
pecunaria e non essere stati sottoposti a misure
di prevenzione o di sicurezza."
38,"Ai sensi dell'art. 47-ter del d.lgs. del 31
dicembre 1992 n. 546:","Escluso il caso di pronuncia su reclamo, il
collegio, in sede di decisione della domanda
cautelare, trascorsi almeno venti giorni
dall'ultima notificazione del ricorso, accertata
la completezza del contraddittorio e
dell'istruttoria, sentite sul punto le parti
costituite, può definire, in camera di consiglio,
il giudizio con sentenza in forma semplificata
ai sensi del comma 3 dell'art. 47-ter del d.lgs.
del 31 dicembre 1992 n. 546, salvo che una
delle parti dichiari di voler proporre motivi
aggiunti ovvero regolamento di giurisdizione.","Escluso il caso di pronuncia su reclamo, il
collegio, in sede di decisione della domanda
cautelare, trascorsi almeno venti giorni
dall'ultima notificazione del ricorso, accertata la
completezza del contraddittorio e
dell'istruttoria, sentite sul punto le parti
costituite, può definire, in camera di consiglio,
il giudizio con sentenza in forma semplificata ai
sensi del comma 4 dell'art. 47-bis del d.lgs. del
31 dicembre 1992 n.545, salvo che una delle
parti dichiari di voler proporre motivi aggiunti
ovvero regolamento di giurisdizione.","Escluso il caso di pronuncia su reclamo, il
collegio, in sede di decisione della domanda
cautelare, trascorsi almeno trenta giorni
dall'ultima notificazione del ricorso, accertata la
completezza del contraddittorio e
dell'istruttoria, sentite sul punto le parti
costituite, può definire, in camera di consiglio,
il giudizio con sentenza in forma semplificata
ai sensi del comma 4 dell'art. 47-ter del d.lgs.
del 31 dicembre 1992 n. 545, salvo che una
delle parti dichiari di voler proporre motivi
aggiunti ovvero regolamento di giurisdizione.","Escluso il caso di pronuncia su reclamo, il
collegio, in sede di decisione della domanda
cautelare, trascorsi almeno trenta giorni
dall'ultima notificazione del ricorso, accertata la
completezza del contraddittorio e
dell'istruttoria, sentite sul punto le parti
costituite, può definire, in camera di consiglio,
il giudizio con sentenza in forma semplificata ai
sensi del comma 5 dell'art. 47-bis del d.lgs. del
31 dicembre 1992 n. 545, salvo che una delle
parti dichiari di voler proporre motivi aggiunti
ovvero regolamento di giurisdizione."
39,"L'art. 70 del d.lgs. del 31 dicembre 1992 n.
546:",Si occupa del giudizio di ottemperanza.,Si occupa del giudizio di revocazione.,"Si occupa della provvisoria esecutività delle
sentenze emanate dalla Corte di giustizia
tributaria di secondo grado.","Si occupa di individuare le norme applicabili al
giudizio di cassazione."
40,Selezionare l'affermazione corretta:,"Se non ritiene di adottare preliminarmente i
provvedimenti di cui all'art. 27 del d.lgs. del 31
dicembre 1992 n. 546, il presidente, scaduto in
ogni caso il termine per la costituzione delle
parti, fissa la trattazione della controversia
secondo quanto previsto dagli articoli 33 e 34
del medesimo decreto legislativo e nomina il
relatore.","Se ritiene di adottare preliminarmente i
provvedimenti di cui all'art. 27 del d.lgs. del 31
dicembre 1992 n. 546, il componente della
sezione della Corte di giustizia tributaria alla
quale è stato assegnato il ricorso, scaduto in
ogni caso il termine per la costituzione delle
parti, fissa la trattazione della controversia
secondo quanto previsto dagli articoli 33 e 34
del medesimo decreto legislativo e nomina il
relatore.","Se ritiene di adottare preliminarmente i
provvedimenti di cui all'art. 27 del d.lgs. del 31
dicembre 1992 n. 546, il componente della
sezione della Corte di giustizia tributaria alla
quale è stato assegnato il ricorso, prima che sia
scaduto in ogni caso il termine per la
costituzione delle parti, fissa la trattazione della
controversia secondo quanto previsto dagli
articoli 33 e 34 del medesimo decreto
legislativo e nomina il relatore.","Se ritiene di adottare preliminarmente i
provvedimenti di cui all'art. 27 del d.lgs. del 31
dicembre 1992 n. 546, il presidente, prima che
sia scaduto in ogni caso il termine per la
costituzione delle parti, fissa la trattazione della
controversia secondo quanto previsto dagli
articoli 33 e 34 del medesimo decreto
legislativo e nomina il relatore."
